LLM,LLM_Full,cat,cat_full,cat_desc,axis,mean
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,dialogue_subtext,2.00575
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,dialogue_subtext,1.8115
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,dialogue_subtext,0.7829999999999999
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,dialogue_subtext,1.86775
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,dialogue_subtext,1.5895
glm-4-5,GLM-4.5,14,14,,dialogue_subtext,1.4128749999999999
glm-4-6,GLM-4.6,14,14,,dialogue_subtext,1.58375
gpt-5-medium,GPT-5 (medium reasoning),1,1,,dialogue_subtext,4.522749999999999
gpt-5-pro,GPT-5 Pro,1,1,,dialogue_subtext,4.69
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,dialogue_subtext,4.19
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,dialogue_subtext,4.431
gpt-oss-120b,GPT-OSS-120B,1,1,,dialogue_subtext,0.7283750000000001
grok-4-0709,Grok 4,9,9,,dialogue_subtext,1.4782499999999998
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,dialogue_subtext,2.079
kimi-k2,Kimi K2,16,16,,dialogue_subtext,3.467
kimi-k2-thinking,Kimi K2 Thinking,16,16,,dialogue_subtext,1.9385
kimi-k2-0905,Kimi K2-0905,16,16,,dialogue_subtext,3.5297500000000004
llama4-maverick,Llama 4 Maverick,3,3,,dialogue_subtext,0.232125
mistral-large-2512,Mistral Large 3,5,5,,dialogue_subtext,3.2147500000000004
mistral-medium-2508,Mistral Medium 3.1,5,5,,dialogue_subtext,4.780375
o3-pro-medium,o3-pro (medium reasoning),1,1,,dialogue_subtext,3.69825
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,dialogue_subtext,1.85125
qwen3-max-preview,Qwen 3 Max Preview,6,6,,dialogue_subtext,3.11425
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,experimentation_degree,2.581125
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,experimentation_degree,2.796937697993664
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,experimentation_degree,2.518796992481203
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,experimentation_degree,2.7127499999999998
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,experimentation_degree,2.612
command-a,Cohere Command A,13,13,,experimentation_degree,2.055875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,experimentation_degree,2.555
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,experimentation_degree,2.59925
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,experimentation_degree,2.199
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,experimentation_degree,2.5825
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,experimentation_degree,3.23825
glm-4-5,GLM-4.5,14,14,,experimentation_degree,2.349125
glm-4-6,GLM-4.6,14,14,,experimentation_degree,2.68125
gpt-5-medium,GPT-5 (medium reasoning),1,1,,experimentation_degree,6.007999999999999
gpt-5-pro,GPT-5 Pro,1,1,,experimentation_degree,5.86725
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,experimentation_degree,4.0695
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,experimentation_degree,3.9665
gpt-oss-120b,GPT-OSS-120B,1,1,,experimentation_degree,3.323
grok-4-0709,Grok 4,9,9,,experimentation_degree,2.80125
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,experimentation_degree,3.735
kimi-k2,Kimi K2,16,16,,experimentation_degree,4.6435
kimi-k2-thinking,Kimi K2 Thinking,16,16,,experimentation_degree,3.37425
kimi-k2-0905,Kimi K2-0905,16,16,,experimentation_degree,4.985
llama4-maverick,Llama 4 Maverick,3,3,,experimentation_degree,1.9892500000000002
mistral-large-2512,Mistral Large 3,5,5,,experimentation_degree,2.49975
mistral-medium-2508,Mistral Medium 3.1,5,5,,experimentation_degree,3.697375
o3-pro-medium,o3-pro (medium reasoning),1,1,,experimentation_degree,4.749750000000001
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,experimentation_degree,2.7742500000000003
qwen3-max-preview,Qwen 3 Max Preview,6,6,,experimentation_degree,4.2052499999999995
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,associative_gaps,1.834375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,associative_gaps,1.9559196617336152
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,associative_gaps,1.729
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,associative_gaps,1.7794999999999999
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,associative_gaps,1.7409999999999999
command-a,Cohere Command A,13,13,,associative_gaps,1.617875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,associative_gaps,1.75025
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,associative_gaps,1.7167500000000002
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,associative_gaps,1.464
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,associative_gaps,1.67625
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,associative_gaps,1.692
glm-4-5,GLM-4.5,14,14,,associative_gaps,1.6272499999999999
glm-4-6,GLM-4.6,14,14,,associative_gaps,1.8085
gpt-5-medium,GPT-5 (medium reasoning),1,1,,associative_gaps,3.7335000000000003
gpt-5-pro,GPT-5 Pro,1,1,,associative_gaps,3.464
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,associative_gaps,2.50725
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,associative_gaps,2.2032499999999997
gpt-oss-120b,GPT-OSS-120B,1,1,,associative_gaps,2.29575
grok-4-0709,Grok 4,9,9,,associative_gaps,1.8442500000000002
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,associative_gaps,2.00225
kimi-k2,Kimi K2,16,16,,associative_gaps,2.845
kimi-k2-thinking,Kimi K2 Thinking,16,16,,associative_gaps,2.175
kimi-k2-0905,Kimi K2-0905,16,16,,associative_gaps,2.8555
llama4-maverick,Llama 4 Maverick,3,3,,associative_gaps,1.602875
mistral-large-2512,Mistral Large 3,5,5,,associative_gaps,1.92175
mistral-medium-2508,Mistral Medium 3.1,5,5,,associative_gaps,2.532375
o3-pro-medium,o3-pro (medium reasoning),1,1,,associative_gaps,2.55125
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,associative_gaps,1.7594999999999998
qwen3-max-preview,Qwen 3 Max Preview,6,6,,associative_gaps,2.450375939849624
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,closure_cadence,7.800625782227785
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,closure_cadence,8.172122492080254
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,closure_cadence,8.27225
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,closure_cadence,8.144
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,closure_cadence,8.16625
command-a,Cohere Command A,13,13,,closure_cadence,7.846875
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,closure_cadence,8.18075
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,closure_cadence,8.261000000000001
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,closure_cadence,8.287
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,closure_cadence,8.16925
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,closure_cadence,8.08025
glm-4-5,GLM-4.5,14,14,,closure_cadence,7.9975
glm-4-6,GLM-4.6,14,14,,closure_cadence,8.073500000000001
gpt-5-medium,GPT-5 (medium reasoning),1,1,,closure_cadence,8.285375
gpt-5-pro,GPT-5 Pro,1,1,,closure_cadence,8.380200501253132
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,closure_cadence,7.8165
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,closure_cadence,8.29175
gpt-oss-120b,GPT-OSS-120B,1,1,,closure_cadence,8.167875
grok-4-0709,Grok 4,9,9,,closure_cadence,7.92725
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,closure_cadence,8.24925
kimi-k2,Kimi K2,16,16,,closure_cadence,7.51825
kimi-k2-thinking,Kimi K2 Thinking,16,16,,closure_cadence,8.28875
kimi-k2-0905,Kimi K2-0905,16,16,,closure_cadence,8.463
llama4-maverick,Llama 4 Maverick,3,3,,closure_cadence,7.619249999999999
mistral-large-2512,Mistral Large 3,5,5,,closure_cadence,7.56175
mistral-medium-2508,Mistral Medium 3.1,5,5,,closure_cadence,8.2005
o3-pro-medium,o3-pro (medium reasoning),1,1,,closure_cadence,8.2985
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,closure_cadence,8.096
qwen3-max-preview,Qwen 3 Max Preview,6,6,,closure_cadence,8.38575
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,worldbuilding_intensity,3.99375
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,worldbuilding_intensity,4.354593453009504
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,worldbuilding_intensity,4.4605
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,worldbuilding_intensity,4.457
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,worldbuilding_intensity,4.41825
command-a,Cohere Command A,13,13,,worldbuilding_intensity,3.29825
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,worldbuilding_intensity,3.5585000000000004
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,worldbuilding_intensity,3.508
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,worldbuilding_intensity,3.6914999999999996
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,worldbuilding_intensity,4.0280000000000005
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,worldbuilding_intensity,5.07775
glm-4-5,GLM-4.5,14,14,,worldbuilding_intensity,3.757125
glm-4-6,GLM-4.6,14,14,,worldbuilding_intensity,4.10175
gpt-5-medium,GPT-5 (medium reasoning),1,1,,worldbuilding_intensity,4.38425
gpt-5-pro,GPT-5 Pro,1,1,,worldbuilding_intensity,4.8972500000000005
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,worldbuilding_intensity,4.81675
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,worldbuilding_intensity,5.2307500000000005
gpt-oss-120b,GPT-OSS-120B,1,1,,worldbuilding_intensity,3.7622500000000003
grok-4-0709,Grok 4,9,9,,worldbuilding_intensity,3.825
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,worldbuilding_intensity,4.87675
kimi-k2,Kimi K2,16,16,,worldbuilding_intensity,3.8215
kimi-k2-thinking,Kimi K2 Thinking,16,16,,worldbuilding_intensity,4.27325
kimi-k2-0905,Kimi K2-0905,16,16,,worldbuilding_intensity,5.093500000000001
llama4-maverick,Llama 4 Maverick,3,3,,worldbuilding_intensity,2.7071249999999996
mistral-large-2512,Mistral Large 3,5,5,,worldbuilding_intensity,3.93
mistral-medium-2508,Mistral Medium 3.1,5,5,,worldbuilding_intensity,3.92925
o3-pro-medium,o3-pro (medium reasoning),1,1,,worldbuilding_intensity,4.24775
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,worldbuilding_intensity,3.8052499999999996
qwen3-max-preview,Qwen 3 Max Preview,6,6,,worldbuilding_intensity,4.77325
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,internal_external_ratio,3.183875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,internal_external_ratio,3.1657866948257656
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,internal_external_ratio,3.08375
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,internal_external_ratio,3.23925
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,internal_external_ratio,3.18925
command-a,Cohere Command A,13,13,,internal_external_ratio,2.81
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,internal_external_ratio,2.905
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,internal_external_ratio,2.898
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,internal_external_ratio,2.8895
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,internal_external_ratio,2.91725
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,internal_external_ratio,3.59625
glm-4-5,GLM-4.5,14,14,,internal_external_ratio,2.9488749999999997
glm-4-6,GLM-4.6,14,14,,internal_external_ratio,2.92225
gpt-5-medium,GPT-5 (medium reasoning),1,1,,internal_external_ratio,2.9921249999999997
gpt-5-pro,GPT-5 Pro,1,1,,internal_external_ratio,3.1772500000000004
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,internal_external_ratio,3.03
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,internal_external_ratio,3.6785
gpt-oss-120b,GPT-OSS-120B,1,1,,internal_external_ratio,2.7836250000000002
grok-4-0709,Grok 4,9,9,,internal_external_ratio,2.951
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,internal_external_ratio,3.484
kimi-k2,Kimi K2,16,16,,internal_external_ratio,2.7857499999999997
kimi-k2-thinking,Kimi K2 Thinking,16,16,,internal_external_ratio,3.0260000000000002
kimi-k2-0905,Kimi K2-0905,16,16,,internal_external_ratio,3.1585
llama4-maverick,Llama 4 Maverick,3,3,,internal_external_ratio,2.319125
mistral-large-2512,Mistral Large 3,5,5,,internal_external_ratio,3.2464999999999997
mistral-medium-2508,Mistral Medium 3.1,5,5,,internal_external_ratio,3.0288749999999998
o3-pro-medium,o3-pro (medium reasoning),1,1,,internal_external_ratio,3.24125
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,internal_external_ratio,3.0180000000000002
qwen3-max-preview,Qwen 3 Max Preview,6,6,,internal_external_ratio,2.90075
ernie_4_5_300b_a47b,Baidu Ernie 4.5 300B A47B,15,15,,realism_spectrum,7.20875
claude-opus-4-1-20250805-0K,Claude Opus 4.1 (no reasoning),2,2,,realism_spectrum,6.905279831045407
claude-opus-4-5-20251101-0K,Claude Opus 4.5 (no reasoning),2,2,,realism_spectrum,6.834
claude-sonnet-4-5-20250929-0K,Claude Sonnet 4.5 (no reasoning),2,2,,realism_spectrum,6.699
claude-sonnet-4-5-20250929-16K,Claude Sonnet 4.5 Thinking 16K,2,2,,realism_spectrum,6.6057500000000005
command-a,Cohere Command A,13,13,,realism_spectrum,6.961124999999999
deepseek-v31,DeepSeek V3.1 Non-Think,8,8,,realism_spectrum,6.6785000000000005
deepseek-reasoner,DeepSeek V3.1 Reasoner,8,8,,realism_spectrum,6.689
deepseek-v32-exp,Deepseek V3.2 Exp,8,8,,realism_spectrum,7.0760000000000005
gemini-2.5-pro,Gemini 2.5 Pro,4,4,,realism_spectrum,6.76
gemini-3-pro-preview,Gemini 3 Pro Preview,4,4,,realism_spectrum,7.643
glm-4-5,GLM-4.5,14,14,,realism_spectrum,6.9725
glm-4-6,GLM-4.6,14,14,,realism_spectrum,7.2825
gpt-5-medium,GPT-5 (medium reasoning),1,1,,realism_spectrum,7.374125
gpt-5-pro,GPT-5 Pro,1,1,,realism_spectrum,7.575
gpt-5.1-medium,GPT-5.1 (medium reasoning),1,1,,realism_spectrum,7.38975
gpt-5.2-medium,GPT-5.2 (medium reasoning),1,1,,realism_spectrum,7.324
gpt-oss-120b,GPT-OSS-120B,1,1,,realism_spectrum,8.043
grok-4-0709,Grok 4,9,9,,realism_spectrum,7.1015
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,9,9,,realism_spectrum,7.7989999999999995
kimi-k2,Kimi K2,16,16,,realism_spectrum,7.9615
kimi-k2-thinking,Kimi K2 Thinking,16,16,,realism_spectrum,7.48975
kimi-k2-0905,Kimi K2-0905,16,16,,realism_spectrum,8.123
llama4-maverick,Llama 4 Maverick,3,3,,realism_spectrum,6.603875
mistral-large-2512,Mistral Large 3,5,5,,realism_spectrum,7.11625
mistral-medium-2508,Mistral Medium 3.1,5,5,,realism_spectrum,7.369625
o3-pro-medium,o3-pro (medium reasoning),1,1,,realism_spectrum,7.69025
qwen3-235b-a22b-thinking-2507,Qwen 3 235B A22B 25-07 Think,6,6,,realism_spectrum,6.400499999999999
qwen3-max-preview,Qwen 3 Max Preview,6,6,,realism_spectrum,7.763999999999999
